"year","mon","day","dow","hour","chr","cday","date","datetime"
2018,1,1,6,0,1,1,"20180101","2018010100"
2018,1,1,6,1,2,1,"20180101","2018010101"
2018,1,1,6,2,3,1,"20180101","2018010102"
2018,1,1,6,3,4,1,"20180101","2018010103"
2018,1,1,6,4,5,1,"20180101","2018010104"
2018,1,1,6,5,6,1,"20180101","2018010105"
2018,1,1,6,6,7,1,"20180101","2018010106"
2018,1,1,6,7,8,1,"20180101","2018010107"
2018,1,1,6,8,9,1,"20180101","2018010108"
2018,1,1,6,9,10,1,"20180101","2018010109"
2018,1,1,6,10,11,1,"20180101","2018010110"
2018,1,1,6,11,12,1,"20180101","2018010111"
2018,1,1,6,12,13,1,"20180101","2018010112"
2018,1,1,6,13,14,1,"20180101","2018010113"
2018,1,1,6,14,15,1,"20180101","2018010114"
2018,1,1,6,15,16,1,"20180101","2018010115"
2018,1,1,6,16,17,1,"20180101","2018010116"
2018,1,1,6,17,18,1,"20180101","2018010117"
2018,1,1,6,18,19,1,"20180101","2018010118"
2018,1,1,6,19,20,1,"20180101","2018010119"
2018,1,1,6,20,21,1,"20180101","2018010120"
2018,1,1,6,21,22,1,"20180101","2018010121"
2018,1,1,6,22,23,1,"20180101","2018010122"
2018,1,1,6,23,24,1,"20180101","2018010123"
2018,1,2,7,0,25,2,"20180102","2018010200"
2018,1,2,7,1,26,2,"20180102","2018010201"
2018,1,2,7,2,27,2,"20180102","2018010202"
2018,1,2,7,3,28,2,"20180102","2018010203"
2018,1,2,7,4,29,2,"20180102","2018010204"
2018,1,2,7,5,30,2,"20180102","2018010205"
2018,1,2,7,6,31,2,"20180102","2018010206"
2018,1,2,7,7,32,2,"20180102","2018010207"
2018,1,2,7,8,33,2,"20180102","2018010208"
2018,1,2,7,9,34,2,"20180102","2018010209"
2018,1,2,7,10,35,2,"20180102","2018010210"
2018,1,2,7,11,36,2,"20180102","2018010211"
2018,1,2,7,12,37,2,"20180102","2018010212"
2018,1,2,7,13,38,2,"20180102","2018010213"
2018,1,2,7,14,39,2,"20180102","2018010214"
2018,1,2,7,15,40,2,"20180102","2018010215"
2018,1,2,7,16,41,2,"20180102","2018010216"
2018,1,2,7,17,42,2,"20180102","2018010217"
2018,1,2,7,18,43,2,"20180102","2018010218"
2018,1,2,7,19,44,2,"20180102","2018010219"
2018,1,2,7,20,45,2,"20180102","2018010220"
2018,1,2,7,21,46,2,"20180102","2018010221"
2018,1,2,7,22,47,2,"20180102","2018010222"
2018,1,2,7,23,48,2,"20180102","2018010223"
2018,1,3,1,0,49,3,"20180103","2018010300"
2018,1,3,1,1,50,3,"20180103","2018010301"
2018,1,3,1,2,51,3,"20180103","2018010302"
2018,1,3,1,3,52,3,"20180103","2018010303"
2018,1,3,1,4,53,3,"20180103","2018010304"
2018,1,3,1,5,54,3,"20180103","2018010305"
2018,1,3,1,6,55,3,"20180103","2018010306"
2018,1,3,1,7,56,3,"20180103","2018010307"
2018,1,3,1,8,57,3,"20180103","2018010308"
2018,1,3,1,9,58,3,"20180103","2018010309"
2018,1,3,1,10,59,3,"20180103","2018010310"
2018,1,3,1,11,60,3,"20180103","2018010311"
2018,1,3,1,12,61,3,"20180103","2018010312"
2018,1,3,1,13,62,3,"20180103","2018010313"
2018,1,3,1,14,63,3,"20180103","2018010314"
2018,1,3,1,15,64,3,"20180103","2018010315"
2018,1,3,1,16,65,3,"20180103","2018010316"
2018,1,3,1,17,66,3,"20180103","2018010317"
2018,1,3,1,18,67,3,"20180103","2018010318"
2018,1,3,1,19,68,3,"20180103","2018010319"
2018,1,3,1,20,69,3,"20180103","2018010320"
2018,1,3,1,21,70,3,"20180103","2018010321"
2018,1,3,1,22,71,3,"20180103","2018010322"
2018,1,3,1,23,72,3,"20180103","2018010323"
2018,1,4,2,0,73,4,"20180104","2018010400"
2018,1,4,2,1,74,4,"20180104","2018010401"
2018,1,4,2,2,75,4,"20180104","2018010402"
2018,1,4,2,3,76,4,"20180104","2018010403"
2018,1,4,2,4,77,4,"20180104","2018010404"
2018,1,4,2,5,78,4,"20180104","2018010405"
2018,1,4,2,6,79,4,"20180104","2018010406"
2018,1,4,2,7,80,4,"20180104","2018010407"
2018,1,4,2,8,81,4,"20180104","2018010408"
2018,1,4,2,9,82,4,"20180104","2018010409"
2018,1,4,2,10,83,4,"20180104","2018010410"
2018,1,4,2,11,84,4,"20180104","2018010411"
2018,1,4,2,12,85,4,"20180104","2018010412"
2018,1,4,2,13,86,4,"20180104","2018010413"
2018,1,4,2,14,87,4,"20180104","2018010414"
2018,1,4,2,15,88,4,"20180104","2018010415"
2018,1,4,2,16,89,4,"20180104","2018010416"
2018,1,4,2,17,90,4,"20180104","2018010417"
2018,1,4,2,18,91,4,"20180104","2018010418"
2018,1,4,2,19,92,4,"20180104","2018010419"
2018,1,4,2,20,93,4,"20180104","2018010420"
2018,1,4,2,21,94,4,"20180104","2018010421"
2018,1,4,2,22,95,4,"20180104","2018010422"
2018,1,4,2,23,96,4,"20180104","2018010423"
2018,1,5,3,0,97,5,"20180105","2018010500"
2018,1,5,3,1,98,5,"20180105","2018010501"
2018,1,5,3,2,99,5,"20180105","2018010502"
2018,1,5,3,3,100,5,"20180105","2018010503"
2018,1,5,3,4,101,5,"20180105","2018010504"
2018,1,5,3,5,102,5,"20180105","2018010505"
2018,1,5,3,6,103,5,"20180105","2018010506"
2018,1,5,3,7,104,5,"20180105","2018010507"
2018,1,5,3,8,105,5,"20180105","2018010508"
2018,1,5,3,9,106,5,"20180105","2018010509"
2018,1,5,3,10,107,5,"20180105","2018010510"
2018,1,5,3,11,108,5,"20180105","2018010511"
2018,1,5,3,12,109,5,"20180105","2018010512"
2018,1,5,3,13,110,5,"20180105","2018010513"
2018,1,5,3,14,111,5,"20180105","2018010514"
2018,1,5,3,15,112,5,"20180105","2018010515"
2018,1,5,3,16,113,5,"20180105","2018010516"
2018,1,5,3,17,114,5,"20180105","2018010517"
2018,1,5,3,18,115,5,"20180105","2018010518"
2018,1,5,3,19,116,5,"20180105","2018010519"
2018,1,5,3,20,117,5,"20180105","2018010520"
2018,1,5,3,21,118,5,"20180105","2018010521"
2018,1,5,3,22,119,5,"20180105","2018010522"
2018,1,5,3,23,120,5,"20180105","2018010523"
2018,1,6,4,0,121,6,"20180106","2018010600"
