year,mon,day,dow,hour,chr,cday,date,datetime
2019,1,1,6,0,1,1,20190101,2019010100
2019,1,1,6,1,2,1,20190101,2019010101
2019,1,1,6,2,3,1,20190101,2019010102
2019,1,1,6,3,4,1,20190101,2019010103
2019,1,1,6,4,5,1,20190101,2019010104
2019,1,1,6,5,6,1,20190101,2019010105
2019,1,1,6,6,7,1,20190101,2019010106
2019,1,1,6,7,8,1,20190101,2019010107
2019,1,1,6,8,9,1,20190101,2019010108
2019,1,1,6,9,10,1,20190101,2019010109
2019,1,1,6,10,11,1,20190101,2019010110
2019,1,1,6,11,12,1,20190101,2019010111
2019,1,1,6,12,13,1,20190101,2019010112
2019,1,1,6,13,14,1,20190101,2019010113
2019,1,1,6,14,15,1,20190101,2019010114
2019,1,1,6,15,16,1,20190101,2019010115
2019,1,1,6,16,17,1,20190101,2019010116
2019,1,1,6,17,18,1,20190101,2019010117
2019,1,1,6,18,19,1,20190101,2019010118
2019,1,1,6,19,20,1,20190101,2019010119
2019,1,1,6,20,21,1,20190101,2019010120
2019,1,1,6,21,22,1,20190101,2019010121
2019,1,1,6,22,23,1,20190101,2019010122
2019,1,1,6,23,24,1,20190101,2019010123
2019,1,2,7,0,25,2,20190102,2019010200
2019,1,2,7,1,26,2,20190102,2019010201
2019,1,2,7,2,27,2,20190102,2019010202
2019,1,2,7,3,28,2,20190102,2019010203
2019,1,2,7,4,29,2,20190102,2019010204
2019,1,2,7,5,30,2,20190102,2019010205
2019,1,2,7,6,31,2,20190102,2019010206
2019,1,2,7,7,32,2,20190102,2019010207
2019,1,2,7,8,33,2,20190102,2019010208
2019,1,2,7,9,34,2,20190102,2019010209
2019,1,2,7,10,35,2,20190102,2019010210
2019,1,2,7,11,36,2,20190102,2019010211
2019,1,2,7,12,37,2,20190102,2019010212
2019,1,2,7,13,38,2,20190102,2019010213
2019,1,2,7,14,39,2,20190102,2019010214
2019,1,2,7,15,40,2,20190102,2019010215
2019,1,2,7,16,41,2,20190102,2019010216
2019,1,2,7,17,42,2,20190102,2019010217
2019,1,2,7,18,43,2,20190102,2019010218
2019,1,2,7,19,44,2,20190102,2019010219
2019,1,2,7,20,45,2,20190102,2019010220
2019,1,2,7,21,46,2,20190102,2019010221
2019,1,2,7,22,47,2,20190102,2019010222
2019,1,2,7,23,48,2,20190102,2019010223
2019,1,3,1,0,49,3,20190103,2019010300
2019,1,3,1,1,50,3,20190103,2019010301
2019,1,3,1,2,51,3,20190103,2019010302
2019,1,3,1,3,52,3,20190103,2019010303
2019,1,3,1,4,53,3,20190103,2019010304
2019,1,3,1,5,54,3,20190103,2019010305
2019,1,3,1,6,55,3,20190103,2019010306
2019,1,3,1,7,56,3,20190103,2019010307
2019,1,3,1,8,57,3,20190103,2019010308
2019,1,3,1,9,58,3,20190103,2019010309
2019,1,3,1,10,59,3,20190103,2019010310
2019,1,3,1,11,60,3,20190103,2019010311
2019,1,3,1,12,61,3,20190103,2019010312
2019,1,3,1,13,62,3,20190103,2019010313
2019,1,3,1,14,63,3,20190103,2019010314
2019,1,3,1,15,64,3,20190103,2019010315
2019,1,3,1,16,65,3,20190103,2019010316
2019,1,3,1,17,66,3,20190103,2019010317
2019,1,3,1,18,67,3,20190103,2019010318
2019,1,3,1,19,68,3,20190103,2019010319
2019,1,3,1,20,69,3,20190103,2019010320
2019,1,3,1,21,70,3,20190103,2019010321
2019,1,3,1,22,71,3,20190103,2019010322
2019,1,3,1,23,72,3,20190103,2019010323
2019,1,4,2,0,73,4,20190104,2019010400
2019,1,4,2,1,74,4,20190104,2019010401
2019,1,4,2,2,75,4,20190104,2019010402
2019,1,4,2,3,76,4,20190104,2019010403
2019,1,4,2,4,77,4,20190104,2019010404
2019,1,4,2,5,78,4,20190104,2019010405
2019,1,4,2,6,79,4,20190104,2019010406
2019,1,4,2,7,80,4,20190104,2019010407
2019,1,4,2,8,81,4,20190104,2019010408
2019,1,4,2,9,82,4,20190104,2019010409
2019,1,4,2,10,83,4,20190104,2019010410
2019,1,4,2,11,84,4,20190104,2019010411
2019,1,4,2,12,85,4,20190104,2019010412
2019,1,4,2,13,86,4,20190104,2019010413
2019,1,4,2,14,87,4,20190104,2019010414
2019,1,4,2,15,88,4,20190104,2019010415
2019,1,4,2,16,89,4,20190104,2019010416
2019,1,4,2,17,90,4,20190104,2019010417
